Participant,ProlificID,PropertyNum,Property,Object,Stimulus,Type,RandomNum,List,Response
11,5aeab6e39e185a0001b9e272,1,beige,suit,Elliot's suit is beige,bare,11,1,100
11,5aeab6e39e185a0001b9e272,6,loose,pants,Steve's pants look loose,looks,12,1,66
11,5aeab6e39e185a0001b9e272,5,short,skirt,Zoe's skirt is short,bare,13,1,77
11,5aeab6e39e185a0001b9e272,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,68
11,5aeab6e39e185a0001b9e272,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,77
11,5aeab6e39e185a0001b9e272,4,shiny,dress,Kate's dress is shiny,bare,16,1,74
11,5aeab6e39e185a0001b9e272,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,80
11,5aeab6e39e185a0001b9e272,18,silky,tie,David's tie might be silky,filler,18,1,36
11,5aeab6e39e185a0001b9e272,12,green,vest,I think Tom's vest is green,filler,19,1,63
11,5aeab6e39e185a0001b9e272,2,purple,coat,Holly's coat looks purple,looks,20,1,77
12,60fd8e4407065c93f23a5f84,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,31
12,60fd8e4407065c93f23a5f84,15,long,gown,I think Jenny's gown is long,filler,2,1,34
12,60fd8e4407065c93f23a5f84,20,damp,top,Samantha's top might be damp,filler,3,1,34
12,60fd8e4407065c93f23a5f84,10,oily,purse,Natalie's purse is oily,bare,4,1,90
12,60fd8e4407065c93f23a5f84,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,61
12,60fd8e4407065c93f23a5f84,16,tight,belt,Raplh's belt might be tight,filler,6,1,31
12,60fd8e4407065c93f23a5f84,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,37
12,60fd8e4407065c93f23a5f84,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,39
12,60fd8e4407065c93f23a5f84,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
12,60fd8e4407065c93f23a5f84,9,clean,shoes,Michael's shoes look clean,looks,10,1,74
12,60fd8e4407065c93f23a5f84,1,beige,suit,Elliot's suit is beige,bare,11,1,95
12,60fd8e4407065c93f23a5f84,6,loose,pants,Steve's pants look loose,looks,12,1,56
12,60fd8e4407065c93f23a5f84,5,short,skirt,Zoe's skirt is short,bare,13,1,95
12,60fd8e4407065c93f23a5f84,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,35
12,60fd8e4407065c93f23a5f84,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,74
12,60fd8e4407065c93f23a5f84,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
12,60fd8e4407065c93f23a5f84,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,23
12,60fd8e4407065c93f23a5f84,18,silky,tie,David's tie might be silky,filler,18,1,36
12,60fd8e4407065c93f23a5f84,12,green,vest,I think Tom's vest is green,filler,19,1,64
12,60fd8e4407065c93f23a5f84,2,purple,coat,Holly's coat looks purple,looks,20,1,70
13,5ea492e3b1b3620a6fee3b90,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,11
13,5ea492e3b1b3620a6fee3b90,15,long,gown,I think Jenny's gown is long,filler,2,1,29
13,5ea492e3b1b3620a6fee3b90,20,damp,top,Samantha's top might be damp,filler,3,1,10
13,5ea492e3b1b3620a6fee3b90,10,oily,purse,Natalie's purse is oily,bare,4,1,97
13,5ea492e3b1b3620a6fee3b90,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,84
13,5ea492e3b1b3620a6fee3b90,16,tight,belt,Raplh's belt might be tight,filler,6,1,36
13,5ea492e3b1b3620a6fee3b90,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,25
13,5ea492e3b1b3620a6fee3b90,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,12
13,5ea492e3b1b3620a6fee3b90,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,99
13,5ea492e3b1b3620a6fee3b90,9,clean,shoes,Michael's shoes look clean,looks,10,1,93
13,5ea492e3b1b3620a6fee3b90,1,beige,suit,Elliot's suit is beige,bare,11,1,99
13,5ea492e3b1b3620a6fee3b90,6,loose,pants,Steve's pants look loose,looks,12,1,76
13,5ea492e3b1b3620a6fee3b90,5,short,skirt,Zoe's skirt is short,bare,13,1,87
13,5ea492e3b1b3620a6fee3b90,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,22
13,5ea492e3b1b3620a6fee3b90,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,68
13,5ea492e3b1b3620a6fee3b90,4,shiny,dress,Kate's dress is shiny,bare,16,1,97
13,5ea492e3b1b3620a6fee3b90,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,23
13,5ea492e3b1b3620a6fee3b90,18,silky,tie,David's tie might be silky,filler,18,1,22
13,5ea492e3b1b3620a6fee3b90,12,green,vest,I think Tom's vest is green,filler,19,1,18
13,5ea492e3b1b3620a6fee3b90,2,purple,coat,Holly's coat looks purple,looks,20,1,83
14,60a1e1f4a3707c983a98f185,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,39
14,60a1e1f4a3707c983a98f185,15,long,gown,I think Jenny's gown is long,filler,2,1,51
14,60a1e1f4a3707c983a98f185,20,damp,top,Samantha's top might be damp,filler,3,1,59
14,60a1e1f4a3707c983a98f185,10,oily,purse,Natalie's purse is oily,bare,4,1,82
14,60a1e1f4a3707c983a98f185,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,86
14,60a1e1f4a3707c983a98f185,16,tight,belt,Raplh's belt might be tight,filler,6,1,40
14,60a1e1f4a3707c983a98f185,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,49
14,60a1e1f4a3707c983a98f185,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,37
14,60a1e1f4a3707c983a98f185,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,92
14,60a1e1f4a3707c983a98f185,9,clean,shoes,Michael's shoes look clean,looks,10,1,78
14,60a1e1f4a3707c983a98f185,1,beige,suit,Elliot's suit is beige,bare,11,1,92
14,60a1e1f4a3707c983a98f185,6,loose,pants,Steve's pants look loose,looks,12,1,65
14,60a1e1f4a3707c983a98f185,5,short,skirt,Zoe's skirt is short,bare,13,1,91
14,60a1e1f4a3707c983a98f185,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,61
14,60a1e1f4a3707c983a98f185,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,76
14,60a1e1f4a3707c983a98f185,4,shiny,dress,Kate's dress is shiny,bare,16,1,91
14,60a1e1f4a3707c983a98f185,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,41
14,60a1e1f4a3707c983a98f185,18,silky,tie,David's tie might be silky,filler,18,1,40
14,60a1e1f4a3707c983a98f185,12,green,vest,I think Tom's vest is green,filler,19,1,54
14,60a1e1f4a3707c983a98f185,2,purple,coat,Holly's coat looks purple,looks,20,1,70
15,611891ebef307851334d9dc7,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,64
15,611891ebef307851334d9dc7,15,long,gown,I think Jenny's gown is long,filler,2,1,95
15,611891ebef307851334d9dc7,20,damp,top,Samantha's top might be damp,filler,3,1,62
15,611891ebef307851334d9dc7,10,oily,purse,Natalie's purse is oily,bare,4,1,97
